content,title,author_comment,eiso_count,editor_memo,create_datetime,author_url,author,license
"泥濘に落としてしまったカシスの実 沈み戻らぬ愛を含んで
秘せられた心の中が知りたくて熟れてきたねと白々しく言う
燃え上がり沈みゆく愛あかあかと夕陽に照らさる刹那の横顔
重力に従い落ちたカシスのようにこの愛は決して前進しない
熱情は去りゆき今はこの胸にカシスと混ざった泥濘だけ有る",カシス,,5,,"Jul 3, 2025 11:24 pm",https://x.com/nonaga0303,のなが,CC BY-NC-ND 4.0
"大人とはなんなんでしょう 背表紙を撫でる いつかまた読む 待ってて

夏休み最後の日々は何してた？ 僕は空き缶隠していたよ

友達の誘いを仮病で断った 今夜月面ダイブするから

世界からまた遅れてるみたいです 聞こえますか？ こちらセカイです

高速の下のカルバートここを核シェルターとして体育座りする

第三次世界大戦的恋愛革命とか無い夏がはじまる

校庭の端の小山から星々を一つ残らずUFOにして

逃避行の果ての西日の射す道の路肩のネコは息をしている

見も知らぬ人が帰っていく空を今日も一度は見上げたはずさ

僕のこの世界が「セカイ」になったとき「キミ」は存在するんでしょうか",6月24日は全世界的にUFOの日,"イリヤの空、UFOの夏に寄せて。
思い入れのあるライトノベルです。",10,,"Jun 24, 2025 10:20 pm",https://x.com/Are_you_Sayoko,四辻,CC BY-NC-ND 4.0
"明日もし世界が終わってしまったらあなたと暮らす家は建たない
雷がカウントダウンのように鳴る真夏というには早い日の午後
録画したままの番組積んだ本結局何にも見ないで終わる
来週の予定が立たず行く皮膚科今隕石が落ちたらやだな
明日への切符の一つでもないが積んでおく本一冊増やす
紙一枚ほどの不安を盾にしてあなたの好きなお酒を買った
ねえもっとあなたの夢を語ってよ世界が終わってしまったあとも",信じてないけど,,7,,"Jul 6, 2025 5:53 pm",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
"角砂糖をつまむトングの塩とかを運ぶ機能のないところがいい
 
ティーカップに四つ入れたら田んぼの田だね　そうだね、三つちょうだい

ほとんどのレモンは残されてしまう収まることを強いられたのに

慎ましい酸を味わう日本にはそれを咎めるマダムはいない

「ハーフっていいよね」もしも同じ人として認識されなかったら？

ロンドンのつもりで歩くいくつかのイントネーションを転がしながら

田んぼから出てきたこわいおじさんに戦争のことで怒られている

早足で通り過ぎても通学路沿いにある土地たぶん明日も

浮かんでも沈んでもいけない学校の期待に沿えばアン・ラーニング

アンニャン　とても正しいonionを聴き取れない先生のクラスで

三と川はたぶん///（スラッシュ）で誤魔化せる　だけど間違えないよこんなの

半開きの窓際に吹く風がある　友達なんかいなくっていい

「オギノでみた」と市川さんに見つかって、私、オギノに行かない、二度と

川沿いをとばす自転車　ひとりがいい！一人がいい！　独りがいい！　　ヒトリガ

駐輪場に同じ学校のシールがなくてよかった　プールに逃げる

エアロビクスを終えた老女の視界からうまくすり抜けられる脱衣所

二〇〇〇キロメートルほどを二か月で静かに進む背泳ぎがすき

流されるまではかたちを保つこと　カップの外に出ると決めれば

誰もいないプールでレモン・スライスになるときだけは寂しく在れた

――ながいながい漂流　個々を拾いあげて愛でる貴方の二本の腕は",レモン・スライス,"中編・長編に向けたトレーニングとして読みました。
粗あるかと思いますが、なんなりとご指摘ください🔥🔥",20,,"Jul 5, 2025 3:10 pm",https://x.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
"魚偏に弱いと書いて鰯《いわし》だが人偏だったら吾のことなり
虎は死して皮、人は名を残すと謂うが吾は骨も残らぬだろう
生き方が不器用なれど定年を全うできた父と吾の差
型は古いが中古ではありません 僕の「売り」はこれしかないのです
そうだった あの日摩周湖は晴れていた だから結婚できないんだ",自虐五選,人生の折り返し地点はとうに過ぎているのに、明鏡止水どころか七転八倒です。,5,,"Jul 2, 2025 2:14 pm",https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
"液晶で偶然君を捕まえていいねが欲しい証拠が欲しい
俺だけに清きいいねを。毎日の訪問だってもてなせるから。
間隔があけば心も遠ざかる欲しがったから足りなくなった
どっちでもいいけどいつかおかえりを言いたいからまたいいねしに来て
プライドの高い現実敗北者　SNSで踊り争う
液晶の檻で欲張る令和ではログインボーナスは他者との差
無いと成功できないことはなかろうが、成功者にはいいねが多い
どちらかが消えれば二度と掴めない程度の糸に踊らされている
液晶の檻で欲張る令和ではログアウトした順に輝く",SNS SOLDIER,,9,,"Jul 2, 2025 7:38 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
"大丈夫傷つけられるのは怖い だから安心して傷つけて
殴ってと言えば殴ってくれるけど0.5秒の呼吸の惑い
本当は支配もきらいじゃないでしょうそんなさみしい歯型を付けて
甘声 痛みを乞われあべこべの壊れた成功体験を積む
日が陰る 世界の終わりでセックスをしてるみたいだ、ね、ほら嬲って",支配/被支配,,5,,"Jul 2, 2025 10:50 pm",https://x.com/nashiorringo,にいたかりんご,CC BY-NC-ND 4.0
"谷折りを何回もして影深く大人になるには必要だった
ファミレスのパセリのようだ放置とは壁面ミラーでいくつも増えて
ナプキンに描くミッフィーの口元はバツの印としてそこにある
いくらでも代わりはいるという人の口を縫いたい手を使わずに
デザインは売れるかどうかでほめられる数量的な仕事ばかりの
重なったまま吸いこんで詰まる機器 辞めると逃げるは同義語じゃない
夕方の美術準備室に戻りたい光と影のどちらも綺麗
セルフオブリタレイションわたしごと草間彌生のドットに混ぜて
新しい魂の位置に立つように退職届を山折りにする",山折り,,9,,"Jul 6, 2025 5:25 pm",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
"のど飴のむせる苦さを舐めている平気な顔が私はできる
「これから」の話をもっとしたいのに標識はゆっくり色褪せる
沈黙が続くことすら苦しくて、梨に、フォークをざくと刺し込む
秒針の音をひたすら追う夜にならないためにラジオを聴いた
そうなんだ　ずっと見ていた偶像は君が頷くたびに崩れて
寂しさを紛らわせて終わりたいから一番好きな曲教えるね
足元にぬるい漣縋りつく行かないでって言えばよかった",ゆっくり色褪せる,,7,,"Jul 7, 2025 10:31 pm",https://x.com/88rinrin23,一色凛夏,CC BY-NC-ND 4.0
"慈悲深い朝のひかりに抱かれて泥酔客の乾いた涎

人ひとり通れない路地おっさんがギチギチペダル踏みしめ迫る

吐瀉物とひとの違いはなんだろねわたしはマリオあと三機ある

全身を緑に染めるアーケード空は破れてまぼろしが降る

薄暗い店の奥での反省会瓦礫みたいにグラス並べて

なにもない空がこわくてわたしたち爛れたように繋がってるの

東洋を背負って立った劇場のあおいネオンはしずかに眠り

担ぎ手をなくし無言の御神輿が軽トラに乗り国道を往く

隙間から隙間がみえる路地の果て　またひとり今吸い込まれたよ

軒先に生まれる前から積んである誰が履いてもダサい靴下

終電に間に合うように畳むみせ店主はミナミの住まいに帰る

また今度　ひだり手だけで合図して改札口で君をうしなう

その昔ニチイがあったと聞いているフェンスに凭れ暫し空白
",駅までの空白,,13,,"Jun 29, 2025 5:12 pm",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
"図書館の閉架書庫のおばけたち日本十進分類法《NDC》が分かるんだって
図書館のおばけになって書庫出納手伝いたいな読書の合間に
タ行の絵本ばっかり出るね、あぁそっか、七夕なのか生者の時間
廃棄する雑誌がないの？まかせてね、一晩かけて見つけてみせる
塩なんて撒いたりしないでおとなしく絵本を読んでくらしていくから",図書館おばけ,1首目の日本十進分類法はNDC（エヌディーシー）と読んでください。,5,,"Jul 6, 2025 6:41 pm",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
"真珠の鱗煌めかせ終わり無きラリー此処は箱庭果てるまで

水でしか 生きられぬ運命であるけれど
天しか無い我の眼には

同じ科に属す生き物で我ら
それでも彼方は捕食者で

人間は まっこと奇っ怪な生き物で
我は分からぬこの瘤の良さ

両の手を 広げた程の 舟の中
小赤は必死に 死から逃げる",金魚繚乱,"　一作目：ピンポンパール
・まるっこい見た目とパールのようにぷくりとした鱗を持つ種。
　二作目：頂天眼
・眼が上に向いてついている種。
　三作目：姉金
・和金の別名であり小赤の成長したもの。鯉等の餌にすることもある。
　四作目：獅子頭
・琉金という金魚の突然変異の固定種。人間からすれば可愛いが、本魚にとっては特別良くは無いだろうと思う。
　五作目：小赤
・金魚の代名詞""和金""の別名であり金魚掬いの赤い金魚。金魚掬いの金魚は追いかけ回されるので、弱りやすく死にやすい場合がある。",5,,"Jul 7, 2025 10:13 pm",https://x.com/iFb77WoIcv87418,青海波,CC BY-NC-ND 4.0
"一年で一番短い夜が来るトリコロールに弾みだす音

沈まない太陽　逃げ場のない暑さ　ボリュームをあげるFête de la Musique （フェットラミュージク）

額から腕から指先毛先からほとばしる汗は音符にかわる

原色も中間色も音の海に渦まいてやがて黄昏の赤

明日から冬に向かってかたむいていく太陽をもう少しだけ",Fête de la Musique（フェットラミュージク）,,5,,"Jul 6, 2025 6:03 pm",https://x.com/OnakaSuiTanka,小仲翠太,CC BY-NC-ND 4.0
"多数派の決定だから、そう言って思考回路を停止する。ポチ。
スイッチをさがしてくれる？　何年も前から同じ日を生きていて
平穏を求めながらも避けるからぐちゃぐちゃになる赤青黄色
ステップを踏んで何かが変わったとしてもわたしじゃない何かだし
あまのじゃく　逆張りをして損をした経験をいつ活かせるだろう
トランプの関税なんて無視をして勝手に自転している地球",自転している,,6,,"Jul 6, 2025 9:36 pm",https://x.com/l0vemash,真朱,CC BY-NC-ND 4.0
"観戦の思い出話し人々に伝える思い託した仲夏

球場に出向き観戦楽しんでまた通おうと決意の晩夏

お誘いを受けて向かった遠方で楽しい時間過ごす幸せ

グランドでもめる審判何事か止めに行こうとした九月の日

突然のサプライズ起き感動の僕はこの日を忘れられない

若き日に無休の仕事就いたため楽しみすらも味わえずにいる

内野守備挑戦しては失敗もこの経験が糧と化してく

久々の休日取得したならばまた遠方へ行こうと決意

懐かしい場所で再会楽しんで思い出をまた刻んだ九月

伝統の試合をＶＩＰな席で眺めてるその幸せは貴重であった

遠方の観戦これをもってもう十年以上行けずにいる今

付き合いに変化が起きて観戦に行ける機会が少なくなった

観戦は地元近隣行くけれど五年近く遠ざかってた

独立のチームの試合観戦しまた新たなる応援始め

久々の二軍ゲームの観戦は昔のことを思い出してた

祖父と行く東北の地の観戦は最初で最後の思い出です

研修や仕事のことで観戦が遠ざかっても行きたい気持ち",野球観戦等２０年,２０年前から今までの野球観戦や、草野球経験を追いかけて、楽しんでいたことを振り返れました。今は人間関係も充実しているので、観戦から遠ざかってはいますが、また行こうと思います。,17,,"Jun 29, 2025 7:59 pm",https://x.com/ichikawa_osaka1,いちかわ ゆうた,CC BY-NC-ND 4.0
"盗塁のコツは帰塁が巧いこともと来た道をおぼえてること

頭部への死球で転倒する打者こんな夏を望んだんじゃない

走っても走ってもまだ着かなくて終わらないってたぶん地獄だ

ほんのりと残るアナタの気配すら徐々に真夏の光にきえる

是が非でも夢を勝ちとる瞬間をアナタにだけは見ていてほしい",甲子園予選あるいはREGRET OF SUMMER,,5,,"Jul 6, 2025 9:15 pm",https://x.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
"子供持ち　家に根を張り　安定を
子供ありきの　営みを見る

あれがない　買い物へ行こうと　飛び出して
荷物の軽さと　根の重さあり

どこへ行こ　行き先さえも　無計画
そんな選択　出来ることを知る

車乗り　外の自由さ　身に染みて
このままアクセル　踏んでどこ行く

家路にて　駐車の後にフッと来る
この時の終わり　終わりの自由さ",誰も見ていないとき,,5,,"Jul 5, 2025 3:25 pm",https://x.com/niiimiyu,仁井 海夢,CC BY-NC-ND 4.0
"ごくわずか入った毒を吸い上げてすくすく伸びて行くチューリップ
まだ生きているのね蕾が水浮かび何も知らずに満開に咲く
弔いの赤い花束わたくしの小さいわたくしがまた消えた
神様が手放したあとアネモネの花は色とりどりに咲いてた
脳漿が路面に爆ぜた夢見には花の群生地をまた残す",花の群生地,,5,,"Jul 1, 2025 2:25 am",https://x.com/toDazaihu,枝香,CC BY-NC-ND 4.0
"折れたってまだ書けるよと踏ん張ったチョークが残すあるひとの生
学び舎を飛び立ち桜舞う空へ去っていく背を見つめる仕事
きみたちは藍より青し　青春の眩さ　脆さ　群青になれ",七時間目の風,,3,,"Jul 7, 2025 8:31 pm",https://x.com/carda_mm,漁火いさな,CC BY-NC-ND 4.0
"旅人の知らない光切り取ってカメラロールに一筋の雲

夏生まれ犬派のきみに敵わないチ、ヨ、コ、レ、イ、トと駆け上がってく

見えることだけを取り柄にしたタワー独占すべく建つレジデンス

徒歩圏の大垣書店の文庫二位たぶんわたしも貢献してる

病院で16ミリのネジになる全員どこか不自然なまま

切り取れるフイルムだけがない町で流れるだけでいられない川

二月、まだ何者にでもなれたころWALKMANだけが音楽でした

この夏のはじまりだった紫陽花がその浴衣にも咲いて涼風

色褪せてなお羽ばたいた万国旗かつてだれかの願いを乗せた

パブロンは苦くてちゃんと市販でも大丈夫になる、おやすみなさい
　",鴨川左岸,京都の初夏に生きて、世界を見ています。,10,,"Jun 29, 2025 4:41 pm",https://x.com/FN7rh,みなせ　あさ,CC BY-NC-ND 4.0
"溺れてももっと深くにもぐってあげる鳥籠棄ててあのこがほしい
メーテルとカムパネルラを忘れない銀河鉄道走り抜けてゆく
青葉風そよ吹く中に立ち竦むあどけない少女のままいつまでも
はつ夏に生まれたきみのとなりには羽化したばかりのギンヤンマ
かなしみの葉音はきっと夢見がち戯れ蝶も木陰に入る
宝箱に入らなかった思い出たちはきっと今でもあの夏の海にいる
こころにも形はありて鳥籠のようなあばらの奥で蠢《うごめ》く
微かなる歌声とどく砂丘には微笑むような儚い風紋
ひらひらと空知らぬ雪さゆらいで季節をめぐりつあなたにもどる
ほんのりと温もり残るパンケーキ思い出ふりかけナイフを入れて
暮れなずむ景色の中であざやかな太陽よりも紅いくちびる
ほぐれてく追憶たどり回廊にそっと降りそそぐ光の甘露",戯れ蝶,,12,,"Jul 4, 2025 11:30 am",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
