content,author_comment,editor_memo,create_datetime,author_url,author,license
気が付けば景色は緑に変わってて僕らは一体何色だろう,,,"Jun 15, 2025 8:16 pm",https://twitter.com/kootarogo,藤瀬こうたろー,CC BY-NC-ND 4.0
見送った地下鉄の風ああ私ふられたなりの髪をしている,,,"Jun 2, 2025 1:18 am",https://twitter.com/d23705,北野白熊,CC BY-NC-ND 4.0
孵化を待つたまごを選び「さびしい」を大事に胸に温めている,,,"Jun 3, 2025 6:11 pm",https://twitter.com/sinachiku_no_yo,萎竹,CC BY-NC-ND 4.0
眠れない夜に羊も寝静まり未遂で終わったキスを数えた,,,"Jun 1, 2025 2:49 am",https://twitter.com/kijousan,宇井モナミ,CC BY-NC-ND 4.0
巻き込まぬために優しく突き放すように傘をさす君がキライ,,,"Jun 2, 2025 11:13 pm",https://twitter.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
浴槽で目覚めた日から「つめたい」と「あたたかい」の違いがわからない,,,"May 30, 2025 8:41 pm",https://twitter.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
ショーマストゴーオン ふいに焼け落ちる劇場いつか花野になれば,,,"Jun 2, 2025 5:48 pm",https://twitter.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
あなたという未開封のやわらかさ　壊れたいとき壊れていいよ,,,"Jun 15, 2025 4:21 pm",https://twitter.com/@umi915uta,海,CC BY-NC-ND 4.0
つかれたね、ワニワニパニック0点でたてつづけにワニなでつづけるの,,,"Jun 2, 2025 12:57 pm",https://twitter.com/Itsuki_Mao,しみず,CC BY-NC-ND 4.0
吾が手から石鹸までも逃げてゆき鏡に映る顔がカエサル,,,"May 31, 2025 9:53 pm",https://twitter.com/OkadaDouitsu,岡田道一,CC BY-NC-ND 4.0
蒸し暑い爬虫類館淀む水ワニのあくびとカメの鍛錬,,,"Jun 15, 2025 11:43 pm",https://twitter.com/RAGE0406,紅生姜天ひやむぎっ,CC BY-NC-ND 4.0
羊水の柔さは羊　僕たちはだから羊を数えて眠る,,,"Jun 2, 2025 7:07 pm",https://twitter.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
遠浅の眠りの果てで聞いていた飛び立ってゆく羽音 あなたの,,,"Jun 15, 2025 11:47 pm",https://twitter.com/yoshinani_tanka,よしなに,CC BY-NC-ND 4.0
食べ終えてごちそうさまもハモるのにおなじ家には帰らないひと,,,"May 31, 2025 2:35 pm",https://twitter.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
もうそろそろ眠らなくては明日《あす》つらい思った頃に陽が昇りだす,深夜の読書癖と短歌癖、そこへ季節は夏へ。毎日この状態と闘っているわたしです。,,"Jun 6, 2025 6:27 pm",https://twitter.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
あっ月を　お持ち帰りでストローはいいです挿しておいてください,,,"May 31, 2025 2:35 pm",https://twitter.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
はじめから傘を持ってる人たちの聞く雨音の美しき韻律,,,"Jun 15, 2025 1:22 pm",https://twitter.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
線香を私の父へ焚く君と毎日ここで家族になりゆく,,,"Jun 1, 2025 9:22 pm",https://twitter.com/ASAHINOMI29,ひのき あさみ,CC BY-NC-ND 4.0
母さんはわたくしなどをわたくしは納豆うどんなどを産みます,,,"Jun 4, 2025 2:13 am",https://twitter.com/nsnsn______,仁科篠,CC BY-NC-ND 4.0
世間体の呪いが解ける木漏れ日で陽に溶けていく無職のわたし,,,"Jun 3, 2025 3:51 pm",https://twitter.com/nuttarifan,乃木ひかり,CC BY-NC-ND 4.0
お互いに口内炎をみせあって祝日のない月の伴走,,,"Jun 8, 2025 7:41 am",https://twitter.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
音もなくプリンの蓋の裏にいる微々たるプリン　かつてない雪,,,"Jun 14, 2025 8:53 pm",https://twitter.com/migitenohammer,右手のハンマー,CC BY-NC-ND 4.0
一人きり餅つくウサギを仰ぎ行く月面のつもりコンビニへ一人,,,"May 31, 2025 8:29 am",https://twitter.com/SdkyvYNyii36997,たな,CC BY-NC-ND 4.0
傘を持たずに受けている五月雨を誰かの涙と思えば僕も、,,,"May 31, 2025 7:36 am",https://twitter.com/shienkotonoha,佐竹紫円,CC BY-NC-ND 4.0
正しさが正義ではないラムレーズン噛めば遠くに光射す丘,,,"Jun 1, 2025 10:19 pm",https://twitter.com/sonohi_1nichi,えふぇ,CC BY-NC-ND 4.0
この世には愛ばかりあるはずなんだそっと差し出す右手はひかり,,,"Jun 15, 2025 1:28 am",https://twitter.com/umi_tsukitokage,ツキミサキ,CC BY-NC-ND 4.0
青春の単位はページ喜びの単位は粒か滴だと思う,,,"Jun 15, 2025 11:32 pm",https://twitter.com/swan88888888,白鳥,CC BY-NC-ND 4.0
ぽちゃんとかちゃぷちゃぷだとか少数になったときだけかわい子ぶる水,,,"Jun 4, 2025 12:33 am",https://twitter.com/narita_tanka,竜泉寺成田,CC BY-NC-ND 4.0
ひとつずつ胸の釦をはずすから見ててこんなに紫陽花たわわ,,,"Jun 15, 2025 11:44 pm",https://twitter.com/yoshinani_tanka,よしなに,CC BY-NC-ND 4.0
透明な子らの血潮を巡らせて母の日のカーネーション綺麗,,,"Jun 3, 2025 8:14 pm",https://twitter.com/togetoge_tanka,10,CC BY-NC-ND 4.0
デパートのEarly Summer Collection私の恋も並べてほしい,,,"Jun 2, 2025 11:13 pm",https://twitter.com/36aoRu1Re4K4AbR,空虚 シガイ,CC BY-NC-ND 4.0
来世にも僕の居場所はありますか君の隣で生きられますか,,,"May 31, 2025 12:17 pm",https://twitter.com/Amamiyaamaki,雨宮雨霧,CC BY-NC-ND 4.0
◯にたいとLINE送るも既読のみこれが優しさなんだと思う,話は聴いてもらえるだけ幸せ。,,"May 30, 2025 1:20 am",https://twitter.com/peak_0623,ホワイトアスパラ,CC BY-NC-ND 4.0
天井のライトを見てる揺れている温水プールの底のしずけさ,,,"Jun 4, 2025 12:38 am",https://twitter.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
低音がメロディをとる楽しさを表す単位をつくってほしい,,,"Jun 3, 2025 8:21 pm",https://twitter.com/numberlock_k,Rhythm,CC BY-NC-ND 4.0
今夜またあなたがミントの丘を来るいちばん涼しいひつじのかおで,,,"Jun 14, 2025 1:40 am",https://twitter.com/natsutani_clara,夏谷くらら,CC BY-NC-ND 4.0
ジャズ聴いて珈琲啜る昼下がり煙草の白煙すーっと伸びる,,,"Jun 13, 2025 7:07 pm",https://twitter.com/fromshino,篠崎蓮,CC BY-NC-ND 4.0
いつか死ぬこと棚に上げてる僕たちは線香花火を儚がる,,,"Jun 2, 2025 7:12 pm",https://twitter.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
わたしだけのからだであったことはなく、ずっとまぶしいじゃあじいぎゅうにゅう,,,"Jun 15, 2025 1:11 pm",https://twitter.com/https://twitter.com/qeiV97pW0x5342,ケムニマキコ,CC BY-NC-ND 4.0
「未来」って君が言うたび一斤の食パン思い浮かべてしまう,,,"Jun 14, 2025 7:25 pm",https://twitter.com/Shinnsyutu2020,宇祖田都子,CC BY-NC-ND 4.0
エジプトの阪神ファンは優勝が決まるとナイル川に飛びこむ,初出：5/19短歌アプリ57577「大河」,,"Jun 1, 2025 5:09 pm",https://twitter.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
初恋のひとは既に逝きたるを知る 同窓会は色を失った,数年前、中学校の同窓会へ行き、初恋のひとに会えませんでした。亡くなっていたことを知り、愕然としました。彼女に対しては「恋」というより「憧れ」に近い思いでした。同級生とは思えないほど、大人びた表情と話をするひとでした。※「連作部門」と同時エントリーです。,,"Jun 1, 2025 9:43 am",https://twitter.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
長いことここに住んではいるけれど暮らしていないそんな気がする,わたしといまの自宅地域の関係性はこんな感じです。もうこれまでのどこよりも長い期間住んでいるのに、現職中は寝に帰るだけのような場所で、地域に殆ど馴染みませんでした。その後体調を崩し退職し自宅にいることが増えたのですが、コロナ期なども挟まり、結局地域との関係はそのままです。,,"Jun 6, 2025 6:32 pm",https://twitter.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
姓名がただの記号になっていく産婦人科の待合室は,,,"Jun 7, 2025 10:21 am",https://twitter.com/teto_starlight,てと,CC BY-NC-ND 4.0
チョコレイト、グリコ、タンタン廃線のレールの枕木鳴らして歩く,,,"May 29, 2025 8:00 pm",https://twitter.com/HarunagaMutsuki,春永睦月,CC BY-NC-ND 4.0
にじゅうろくちょうさんぜんおくのせっけっきゅうたぎれど　はくうのかなた,,,"Jun 15, 2025 6:29 pm",https://twitter.com/HaL7sg,青兎,CC BY-NC-ND 4.0
人生を巨大なパフェとするならば底に溜まったチョコはご褒美,,,"Jun 6, 2025 11:55 pm",https://twitter.com/buumekonbutya,ume,CC BY-NC-ND 4.0
忘れ得ぬ人がいること　黒点に触れてそこだけいたんでいたい,,,"Jun 15, 2025 11:59 pm",https://twitter.com/6r2Nh,納戸青,CC BY-NC-ND 4.0
「パスワードが一致しません」指がまだ忘れていないきみのbirthday,,,"May 31, 2025 7:06 am",https://twitter.com/l0vemash,真朱,CC BY-NC-ND 4.0
若き日に恋い煩いし音楽家《かのひと》に贈りしLILIUM《しらゆり》の棘は抜けぬままに,届くはずもない思いを重ねて苦しんだ時期があります。約７年間の片思いです。早々に諦めていれば、こんなみじめな人生を歩むことはなかったと思います。でも、その思いは「本物」であってほしい。,,"Jun 15, 2025 10:33 am",https://twitter.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
天秤は僕の愛側に傾いたきっとあなたも嘘をついてる,,,"Jun 1, 2025 11:40 pm",https://twitter.com/soushin 415,春雷,CC BY-NC-ND 4.0
私たぶん地球最後の日もエアコンつけると思う　気持ちよく死ぬ,,,"Jun 3, 2025 6:12 pm",https://twitter.com/sinachiku_no_yo,萎竹,CC BY-NC-ND 4.0
．ｊｐｇで抉った街の空白に今頼りない新芽が萌える,,,"Jun 2, 2025 8:50 am",https://twitter.com/tankapanda,短歌パンダ,CC BY-NC-ND 4.0
スタバ前はやく来すぎてそわそわし人魚の髪を三つ編みにする,いつも脳内でスタバの人魚さんを三つ編みしちゃいます。夏場とか暑そうで。,,"Jun 3, 2025 2:45 pm",https://twitter.com/Ns4HhpKEzA10870,サ行,CC BY-NC-ND 4.0
生前に棺を選ぶ心地してわたしのための花瓶を選ぶ,,,"Jun 15, 2025 11:49 pm",https://twitter.com/yoshinani_tanka,よしなに,CC BY-NC-ND 4.0
白い仔馬を引き取ってペガサスとユニコーンとに分けてく業者,,,"Jun 1, 2025 5:11 pm",https://twitter.com/TEN_57577,てん,CC BY-NC-ND 4.0
散る桜君の面影探しても音なき風はあの頃のまま,,,"Jun 13, 2025 7:05 pm",https://twitter.com/fromshino,篠崎蓮,CC BY-NC-ND 4.0
水温で性が決まるというワニの31、2度みたいに君は,,,"Jun 1, 2025 11:17 am",https://twitter.com/rebelxduck,木ノ宮むじな,CC BY-NC-ND 4.0
双子座は並んで泣いた心臓に星がなくても互いが好きで,,,"Jun 12, 2025 2:18 am",https://twitter.com/nagikawase,川瀬十萠子,CC BY-NC-ND 4.0
知らなくていい痛みほど忘れ得ぬ不条理さえも知りたくなかった,,,"May 30, 2025 3:30 pm",https://twitter.com/haku_reimi89013,白黎海,CC BY-NC-ND 4.0
それぞれのゆるしのライン飛びまわるときのかたちで伏せられた本,,,"Jun 4, 2025 12:38 am",https://twitter.com/tenran_harugiri,せんぱい,CC BY-NC-ND 4.0
見送りの形骸化したバードキス最近変わったアフターシェーブ,,,"Jun 15, 2025 11:43 pm",https://twitter.com/RAGE0406,紅生姜天ひやむぎっ,CC BY-NC-ND 4.0
傷跡をファスナーのごとく開いては浸潤具合を確かめる烏夜,,,"Jun 4, 2025 5:24 pm",https://twitter.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
喉枯らし入るコンビニ火星水だけしかなくて躊躇してみる,,,"May 31, 2025 8:25 am",https://twitter.com/SdkyvYNyii36997,たな,CC BY-NC-ND 4.0
どんぶりに金魚を放つ泳げればどこだっていい、あした辞めるよ,,,"May 31, 2025 6:57 am",https://twitter.com/Koharu_kura,くらたか湖春,CC BY-NC-ND 4.0
葉脈を透かして月を眺め見る若葉の形に月は削れり,若葉を一枚手に取り、月の光にかざしてみる。すると、葉脈という生命の地図を通して見る月は、ただの天体ではなく、葉の輪郭によってその光を切り取られます。その情景は、まるで月そのものが若葉の形に「削られた」かのようでした。小さな若葉という「ミクロ」な存在が、雄大な月という「マクロ」な存在の形さえも規定するという、その瞬間の視点の転換の面白さと、自然の造形が織りなす静謐な美しさを三十一文字に込めました。日常に潜む非日常的な感動を表現した一首です。AIは、読者の意見の聞く代わりの参考としてうたの感想を聞きました。,,"Jun 14, 2025 11:50 pm",https://twitter.com/toto_books,つくだとしお,CC BY-NC-ND 4.0
全身に抒情を纏う旅人と東京モード学園のビル,,,"Jun 11, 2025 4:26 pm",https://twitter.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
晴れたので水たまりから並行世界の君に会いにいきます,,,"Jun 7, 2025 2:45 pm",https://twitter.com/Are_you_Sayoko,四辻,CC BY-NC-ND 4.0
サンダルが真っ直ぐ天を差したので明日こそ世界の終りでしょう,,,"Jun 7, 2025 2:44 pm",https://twitter.com/Are_you_Sayoko,四辻,CC BY-NC-ND 4.0
母の日にわたしに花を買ってみるカーネーションはほんとはきれい,,,"Jun 15, 2025 1:23 pm",https://twitter.com/moonnight_rain,月夜の雨,CC BY-NC-ND 4.0
さびしいと祖母のこぼした言の葉をいつかわれらの養分にする,祖父が亡くなってから初めてのお彼岸、子供を連れて祖母宅にお参りに行きました。ぼた餅を食べながら子供が祖母に「さびしくない？」と聞くと「さびしい」と呟きました。この言葉は忘れずにいたいと思いました。,,"Jun 13, 2025 3:47 pm",https://twitter.com/nioibanmatsuri1,匂蕃茉莉,CC BY-NC-ND 4.0
短歌が、日記のようになっていて死に目配せした令和3年,,,"May 31, 2025 9:49 pm",https://twitter.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
眠れない夜にぽつんとひとりきり思い出すのはきみの体温,,,"Jun 3, 2025 11:42 pm",https://twitter.com/manmarumaruri,静麗,CC BY-NC-ND 4.0
淼淼《びょうびょう》たる記憶の海に絶え間なく通り過ぎゆくイルカの大群,,,"Jun 4, 2025 5:24 pm",https://twitter.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
人生のゴールに共にいてください。※現地集合ぎりぎり可です。,,,"May 31, 2025 9:48 pm",https://twitter.com/maomurataxyz,村田真央,CC BY-NC-ND 4.0
昨晩のキスに似ている香りだけいちごの紅茶を無糖で淹れる,,,"Jun 7, 2025 8:29 pm",https://twitter.com/Linon_non,りのん,CC BY-NC-ND 4.0
氷食症三十一年目を迎え咳をするとき粉雪すこし,,,"May 30, 2025 8:41 pm",https://twitter.com/murasaki_zanshi,村崎残滓,CC BY-NC-ND 4.0
限定のチャットルームに二人きりこの世の秘密語る朝まで,もはや限定チャットは古いかもですが、顔すら知らない相手と深夜に夜な夜な秘密を語らう場所だった記憶を詠んでみました。,,"Jun 6, 2025 12:30 am",https://twitter.com/tyrannos818181,さに。,CC BY-NC-ND 4.0
背徳だわかっているよいるけれど午前零時のフレンチクルーラー,一日の終わりの深夜、ふと訪れる甘いものへの誘惑。健康やダイエットを思えば「いけない」と理屈では分かっていながらも、その魅力には抗えない。そんな誰もが経験するであろう「ささやかな背徳」の瞬間を切り取りました。「フレンチクルーラー」という具体的な名詞と「午前零時」という時間を描くことで、誘惑の甘美さと、それに屈してしまう瞬間の小さな幸福感や後ろめたさを、読者の共感を誘う形で表現しました。,,"Jun 14, 2025 11:45 pm",https://twitter.com/toto_books,つくだとしお,CC BY-NC-ND 4.0
あたらしい家が建ちますぼくたちが埋めた金魚をかみさまにして,,,"May 31, 2025 8:15 pm",https://twitter.com/marja0312tk,まる弥,CC BY-NC-ND 4.0
おだやかにすこやかに暮らしておりますあなたの視野の外に出られて,,,"Jun 2, 2025 2:57 pm",https://twitter.com/akiiro3,ყąɱąɠųƈɧı ąƙıɧıཞơ,CC BY-NC-ND 4.0
僕たちの知らないことが起こってる工事現場のフェンスの向こう,,,"Jun 15, 2025 1:26 am",https://twitter.com/umi_tsukitokage,ツキミサキ,CC BY-NC-ND 4.0
つり革をつかむ手首に星四つ、なまえをもたない星座、あなたの,,,"Jun 2, 2025 11:19 pm",https://twitter.com/keshiki_kgym,久我山景色,CC BY-NC-ND 4.0
情熱はまだありますか？きみの目の奥に眠った星の尾ひれに,,,"May 31, 2025 7:05 am",https://twitter.com/l0vemash,真朱,CC BY-NC-ND 4.0
はらわたを絞る嫗のしわぶきにコロナの「おれはまだいるぜ」を聞く,,,"Jun 2, 2025 3:05 pm",https://twitter.com/akiiro3,ყąɱąɠųƈɧı ąƙıɧıཞơ,CC BY-NC-ND 4.0
新月の湖畔を揺らすまちあわせ　オペラケーキに匙を沈めて,,,"Jun 2, 2025 12:56 pm",https://twitter.com/Itsuki_Mao,しみず,CC BY-NC-ND 4.0
心臓を持たぬ雲丹にも母の血が流れるであろう親となる時,ウニには体の構造上心臓などはありませんが、ウニも母となる時実体としたものではなくとも子を想う母の血が流れるのではないだろうかと想像し詠んだ歌です。,,"May 30, 2025 9:34 am",https://twitter.com/mahounomahou,まほう野まほう,CC BY-NC-ND 4.0
BDSのターゲットではないけれど、躊躇ってしまうスターバックス,,,"May 31, 2025 9:59 pm",https://twitter.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
異国語が急に聞き取れたみたいに君のさみしさに打たれ五月雨,,,"Jun 3, 2025 8:13 pm",https://twitter.com/togetoge_tanka,10,CC BY-NC-ND 4.0
靴紐がほどけたことで救われた命の揺れを蝶は視ていた,,,"Jun 2, 2025 5:48 pm",https://twitter.com/ttmx6,畳川鷺々,CC BY-NC-ND 4.0
人間のすべてに備えつけられた眠るという静かな停戦,世界各国で起こっている紛争もせめて眠っている間だけは安らかな停戦状態であってほしいと願い詠みました。,,"Jun 2, 2025 12:08 pm",https://twitter.com/nina_minaduki27,水無月ニナ,CC BY-NC-ND 4.0
焼きあげたホットケーキの真ん中で溶けるバターを見てるのが好き,,,"Jun 7, 2025 12:06 am",https://twitter.com/hiroyuki_life,hiroyuki,CC BY-NC-ND 4.0
業平の辞世に凪の要素なしよっしゃ死ぬまでうろたえてヨシ！,,,"Jun 2, 2025 2:45 pm",https://twitter.com/akiiro3,ყąɱąɠųƈɧı ąƙıɧıཞơ,CC BY-NC-ND 4.0
炊きたてのご飯をギュッと握ったら泣きながらでも食べられるから,,,"Jun 1, 2025 4:41 am",https://twitter.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
漢字なら可愛いとはしゃぐ姪っ子が指で撫でてたトゲのない雲丹,,,"Jun 14, 2025 5:47 pm",https://twitter.com/_yuumatsu,まつさかゆう,CC BY-NC-ND 4.0
超巨大迷子センター夜の街 誰かの迎えをみんな待ってる,,,"Jun 1, 2025 10:10 pm",https://twitter.com/nashiorringo,にいたかりんご,CC BY-NC-ND 4.0
うまれないように冷やしているたまごみんな抱えて生きていますね,,,"May 31, 2025 7:52 am",https://twitter.com/MeFuchsia,綿鍋和智子,CC BY-NC-ND 4.0
花束を用意だけするきみにもしあげるとしても消えるものがいい,,,"Jun 4, 2025 12:32 am",https://twitter.com/narita_tanka,竜泉寺成田,CC BY-NC-ND 4.0
乳房を差し出す夜の深淵で母が私を産んだ意味を知る,,,"Jun 1, 2025 9:24 pm",https://twitter.com/ASAHINOMI29,ひのき あさみ,CC BY-NC-ND 4.0
ほんとはねアタシは猫じゃなかったのみんなのためにフリをしてたの,5年前に亡くなった長女猫はとても賢い猫で、いわゆる「中の人」がいるのではないかと錯覚してしまうくらいでした。お空でこんなことを考えているのではないかしら、という気がします。,,"Jun 6, 2025 6:29 pm",https://twitter.com/Silbernekatze_,北乃銀猫,CC BY-NC-ND 4.0
こいびとに　なりたそうにきみをみるから　▶はい　にカーソル合わせてください,,,"May 29, 2025 1:29 pm",https://twitter.com/_sa_you_tanka_,稗田 白湯.,CC BY-NC-ND 4.0
バースデークーポンよりもあなたから何でもいいから一言ほしい,,,"May 31, 2025 12:21 am",https://twitter.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
終電で睫毛に光を乗せているおまえらみんなさよならの子ども,,,"Jun 6, 2025 4:13 pm",https://twitter.com/_i_il_i_,メタのおわり,CC BY-NC-ND 4.0
紫蘇の葉を刻んでいるが紫蘇の葉を刻みたいと思っている訳ではない,,,"Jun 4, 2025 2:13 am",https://twitter.com/nsnsn______,仁科篠,CC BY-NC-ND 4.0
やさしいとやさしそうとは遠すぎて傘をなくした　十字路に雨,,,"May 31, 2025 6:57 am",https://twitter.com/Koharu_kura,くらたか湖春,CC BY-NC-ND 4.0
常備薬みたいに孤独を飲んでいるときどき毒でしかないね君は,,,"Jun 3, 2025 8:13 pm",https://twitter.com/togetoge_tanka,10,CC BY-NC-ND 4.0
〈短い愛〉のハンドサインを見せられる　〈それでもいい〉とゆっくり思う,,,"Jun 15, 2025 4:21 pm",https://twitter.com/@umi915uta,海,CC BY-NC-ND 4.0
「本当に消去しますか？」意思のない質問にすら心は揺らぐ,,,"Jun 2, 2025 1:18 am",https://twitter.com/d23705,北野白熊,CC BY-NC-ND 4.0
貴公子のかなしさで仰ぐ青葉には義眼にも似たあかるさがある,,,"Jun 15, 2025 11:58 pm",https://twitter.com/6r2Nh,納戸青,CC BY-NC-ND 4.0
パンダって言われなければ気付かない大丈夫だよ一緒にいこう,,,"May 31, 2025 2:35 pm",https://twitter.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
愛された夜も愛されない夜も等しく私を焼いた暁光,,,"Jun 1, 2025 10:10 pm",https://twitter.com/nashiorringo,にいたかりんご,CC BY-NC-ND 4.0
リフレッシュルームの壁には人工のこもれび、び、び、び、あらゆる嘘が,,,"Jun 12, 2025 7:46 pm",https://twitter.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
臓物を取り出しそっとカルピスに浸してぼくのからだに戻す,,,"Jun 7, 2025 10:20 am",https://twitter.com/teto_starlight,てと,CC BY-NC-ND 4.0
ゆくゆくは波に洗われ丸くなる割れた硝子も十四のきみも,,,"Jun 2, 2025 6:29 pm",https://twitter.com/suimitudou16,睡密堂,CC BY-NC-ND 4.0
簡単な野菜炒めなんてねえよ＞私の本音発表ドラゴン,縦書きだと＞が機能しないかもしれません🙏,,"Jun 16, 2025 12:58 am",https://twitter.com/inan_erotica,インアン,CC BY-NC-ND 4.0
正しさに酒を呑ませてぐだぐだに一緒になろうよねえ立派だ,,,"Jun 4, 2025 4:57 pm",https://twitter.com/koromo_GuwuG,照屋衣,CC BY-NC-ND 4.0
ビリの子が幾多の拍手に迎えられ三位のおれが仰ぐ青空,,,"Jun 15, 2025 8:14 pm",https://twitter.com/kootarogo,藤瀬こうたろー,CC BY-NC-ND 4.0
あの歌の歌詞にならって君のこと君って呼ぶねくりかえし呼ぶね,,,"Jun 2, 2025 8:49 am",https://twitter.com/tankapanda,短歌パンダ,CC BY-NC-ND 4.0
ふと胸にぐさりと刺さる時がある部屋から漏れる笑い声とか,,,"May 31, 2025 9:30 pm",https://twitter.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
消火器の表面をよく読んだあとやって来たエレベーターに乗る,,,"Jun 4, 2025 2:13 am",https://twitter.com/nsnsn______,仁科篠,CC BY-NC-ND 4.0
月面へ降り立つようにゆっくりとすごい値段の花瓶を運ぶ,初出：5/25短歌アプリ57577「月面」,,"Jun 1, 2025 5:09 pm",https://twitter.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
禁じ手で逃げるしかないとき、それを咎める正義を私は持たない,,,"Jun 3, 2025 8:20 pm",https://twitter.com/numberlock_k,Rhythm,CC BY-NC-ND 4.0
モノクロの学校にいて誰も来ない渡り廊下の赤い消火器,,,"Jun 14, 2025 11:40 pm",https://twitter.com/okanocoelacanth,みぎひと,CC BY-NC-ND 4.0
親よりも恋人よりも私よりもGoogleはきっと私に詳しい,,,"Jun 15, 2025 4:51 pm",https://twitter.com/mouse_not_mouth,ねずみ,CC BY-NC-ND 4.0
私って鉛筆より鉛筆削りなのかもしれないとふと思うな,,,"Jun 4, 2025 4:58 pm",https://twitter.com/koromo_GuwuG,照屋衣,CC BY-NC-ND 4.0
シャンプーは指のすきまをこぼれ落ち生活はすこし手に余ります,,,"Jun 6, 2025 4:12 pm",https://twitter.com/_i_il_i_,メタのおわり,CC BY-NC-ND 4.0
複数の生命で生成されている　それが私とあなたに伝える,,,"Jun 15, 2025 7:40 pm",https://twitter.com/sikibukyo,祥,CC BY-NC-ND 4.0
